question,answer,category
"Bagaimana cara menentukan ukuran yang tepat?","Mengukur lingkar dada dan panjang baju yang biasa Anda gunakan.","product"
"cara nentuin ukuran bagaimana?","Mengukur lingkar dada dan panjang baju yang biasa Anda gunakan.","product"
"Ukuran yang pas buat aku yang mana?","Ukuran dapat ditentukan dengan mencocokkan ukuran badan dengan tabel ukuran produk.","product"
"Ada panduan ukuran (size chart) nya?","Panduan ukuran atau size chart ada di deskripsi setiap produk","product"
"panduan ukuran (size chart) dimana?","Panduan ukuran atau size chart ada di deskripsi setiap produk","product"
"ada yang oversized (longgar) atau slimfit (pas di badan)?","Tidak semua model baju slimfit dan oversize, cek deskripsi produk atau label di foto produk","product"
"yang oversize yang mana?","Cek deskripsi produk atau katalog untuk cek ada versi yang oversize"
"yang slimfit yang mana?","Cek deskripsi produk atau katalog untuk cek versi yang slimfit"
"Apakah bisa tukar kalo ukuran nggak pas?","bisa tukar ukuran selama masih dalam batas garansi","refund"
"apa syarat atau ketentuan pengembalian barang?","syarat pengembalian: video unboxing paket tanpa edit, baju belum dicuci atau digunakan, label harga masih terpasang","refund"
"siapa yang menanggung ongkir pengembalian?","Ongkos kirim penukaran ditanggung oleh pembeli, kecuali jika kesalahan ada pada pihak kami.","refund"
"kalo nggak pas bisa ditukar?","bisa tukar ukuran selama masih dalam batas garansi dan memenuhi syarat pengembalian barang.","refund"
"barang bisa di retur nggak?","bisa di ditukar atau diretur selama masih dalam masa garansi dan melengkapi persyaratan pengembalian","refund"
"Berapa lama waktu pengiriman pesanan saya?","Untuk wilayah Jabodetabek biasanya 1-2 hari kerja, dan untuk luar pulau sekitar 3-5 hari kerja (tergantung ekspedisi yang Anda pilih).","delivery"
"lama pengirimian biasanya berapa hari?","Untuk wilayah Jabodetabek biasanya 1-2 hari kerja, dan untuk luar pulau sekitar 3-5 hari kerja (tergantung ekspedisi yang Anda pilih).","delivery"
"pesanan saya diproses kapan?","Pesanan di hari kerja sebelum pukul 15.00 WIB akan dikirim di hari yang sama. Jika lebih dari pukul 15.00 WIB akan diproses keesokan harinya","delivery"
"pesan hari ini diproses kapan?","Pesanan di hari kerja sebelum pukul 15.00 WIB akan dikirim di hari yang sama. Jika lebih dari pukul 15.00 WIB akan diproses keesokan harinya","delivery"
"metode pembayaran bisa pake apa?","metode pembayaran: transfer bank, e-wallet, virtual account, dan COD (Bayar di tempat)","payment"
"bayarnya pake apa aja?","metode pembayaran: transfer bank, e-wallet, virtual account, dan COD (Bayar di tempat)","payment"
"bayar pake transfer bank bisa?","pembayaran melalui transfer bank BCA, Mandiri, BNI, BRI, ataupun bank lainnya dan virtual account","payment"
"bisa bayar pake tf?","pembayaran melalui transfer bank BCA, Mandiri, BNI, BRI, ataupun bank lainnya dan virtual account","payment"
"bayar pake e-wallet bisa?","pembayaran melalui e-wallet berikut GoPay, OVO, Dana, dan ShopeePay", "payment"
"bayar pake GoPay bisa?","pembayaran melalui e-wallet berikut GoPay, OVO, Dana, dan ShopeePay", "payment"
"bayar pake OVO bisa?","pembayaran melalui e-wallet berikut GoPay, OVO, Dana, dan ShopeePay", "payment"
"bayar pake Dana bisa?","pembayaran melalui e-wallet berikut GoPay, OVO, Dana, dan ShopeePay", "payment"
"bayar pake ShopeePay bisa?","pembayaran melalui e-wallet berikut GoPay, OVO, Dana, dan ShopeePay", "payment"
"bisa COD (bayar di tempat)?","untuk pembayaran cod, Tersedia untuk wilayah tertentu melalui ekspedisi mitra kami. atau bisa pesan melalui marketplace kami yang menyediakan metode pembayaran COD","payment"
"bisa bayar waktu paketnya sampai?","untuk pembayaran cod, Tersedia untuk wilayah tertentu melalui ekspedisi mitra kami. atau bisa pesan melalui marketplace kami yang menyediakan metode pembayaran COD","payment"
"bisa bayar cod?","untuk pembayaran cod, Tersedia untuk wilayah tertentu melalui ekspedisi mitra kami. atau bisa pesan melalui marketplace kami yang menyediakan metode pembayaran COD","payment"
"bisa beli lewat marketplace?","Produk tersedia di marketplace Shopee, Lazada, dan TokoPedia","product"
"bisa beli lewat shopee?","Produk tersedia di marketplace Shopee, Lazada, dan TokoPedia","product"
"bisa beli lewat Lazada?","Produk tersedia di marketplace Shopee, Lazada, dan TokoPedia","product"
"bisa beli lewat TokoPedia?","Produk tersedia di marketplace Shopee, Lazada, dan TokoPedia","product"
"batas garansinya berapa hari?","Garansi berlaku selama 7 hari terhitung setelah barang diterima.","product"
"dapat garansi berapa hari?","Garansi berlaku selama 7 hari terhitung setelah barang diterima.","product"
